Original identifier,"(Abbreviation:Expansion,...)",Split Identifier
afm,(afm:adobe font metrics),(a f m)
afm_cache,(afm:adobe font metrics),(a f m) cache
afm_info_cache,(afm:adobe font metrics-info:information),(afm) (info) cache
afm_path,(afm:adobe font metrics),(afm) path
AFMHandle,(afm:adobe font metrics),(afm) Handle
APPEND_CH,(ch:character),append (ch)
append_ctrl_D,(ctrl:control-d:distinguisher),(ctrl) (D)
argc,(arg:argument-c:count),(arg)(c)
argv,(arg:argument-v:value),(arg)(v)
atan2,(atan:arctangent-2:distinguisher),(atan) (2)
atof,(a:American Standard Code for Information Interchange-f:float),(a) to (f)
atoi,(a:American Standard Code for Information Interchange-i:integer),(a) to (i)
b,(b:blue),(b)
bgcolor,(bg:background),(bg) color
bs,(bs:backspace),(bs)
buf,(buf:buffer),(buf)
buf2,(buf:buffer-2:distinguisher),(buf) (2)
buffer_alloc,(alloc:allocate),buffer (alloc)
buffer_append_len,(len:length),buffer append (len)
buffer_init,(init:initialize),buffer (init)
buffer_ptr,(ptr:pointer),buffer (ptr)
buffer_uninit,(init:initialize),buffer un (init)
c,(c:character),(c)
CachedFontInfo,(info:information),cached font (info)
CFG_FATAL,(cfg:configure),(cfg) fatal
char,(char:character),(char)
cmd,(cmd:command),(cmd)
cmdlen,(cmd:command-len:length),(cmd)(len)
cofp,(cofp:current output file pointer),(c o f p)
col,(col:column),(col)
color_st,(st:struct),color (st)
COUR,(cour:courier),(cour)
cp,(cp:character pointer),(cp)
cp2,(cp:character pointer-2:distinguisher),(cp) (2)
ctx,(ctx:context),(ctx)
current_file_linenum,(num:number),current file line (num)
current_pagenum,(num:number),current page (num)
d_footer_h,(d:dimension-h:height),(d) footer (h)
d_header_h,(d:dimension-h:height),(d) header (h)
d_header_w,(d:dimension-w:width),(d) header (w)
d_output_h,(d:dimension-h:height),(d) output (h)
d_output_w,(d:dimension-w:width),(d) output (w)
d_output_x_margin,(d:dimension-x:mathvariable),(d) output (x) margin
d_output_y_margin,(d:dimension-y:mathvariable),(d) output (y) margin
d_page_h,(d:dimension-h:height),(d) page (h)
d_page_w,(d:dimension-w:width),(d) page (w)
data_in_buf,(buf:buffer),data in (buf)
default_escape_char,(char:character),default escape (char)
default_Fencoding,(f:font),default (f) ecoding
default_Fname,(f:font),default (f) name
default_Fpt,(f:font-pt:point),default (f)(pt)
divertfp,(f:file-p:pointer),divert (f)(p)
dump_ps_header,(ps:postscript),dump (ps) header
dump_ps_page_header,(ps:postscript),dump (ps) page header
dump_ps_page_trailer,(ps:postscript),dump (ps) page trailer
ENC_ASCII,(enc:encode-ascii:american standard code information interchange),(enc) (ascii)
ENC_ASCII_DKNO,(enc:encode-ascii:american standard code information interchange-dk:denmark-no:norway),(enc) (ascii) (dk)(no)
ENC_ASCII_FISE,(enc:encode-ascii:american standard code information interchange-fi:finland-se:sweden),(enc) (ascii) (fi)(se)
ENC_HP8,(enc:encode-hp:hewlett packard-8:distinguisher),(enc) (hp)(8)
ENC_IBMPC,(enc:encode-ibm:international business machines-pc:personal computer),(enc) (ibm)(pc)
ENC_ISO_8859_1,(enc:encode-iso:international standards organization),(ENC) (I S O) 8859 1
ENC_ISO_8859_10,(enc:encode-iso:international standards organization),(enc) (iso) 8859 10
ENC_KOI8,(enc:encode-koi:kod obmena informatsiey),(enc) (koi) 8
ENC_MAC,(enc:encode-mac:macintosh),(enc) (mac)
ENC_PS,(enc:encode-ps:postscript),(enc) (ps)
ENC_VMS,(enc:encode-vms:virtual memory system),(enc) (vms)
encp,(enc:encode-p:pointer),(enc) (p)
enum,(enum:enumerator),(enum)
epsf,(epsf:encapsulated postscript file),(epsf)
errno,(errno:error number),(errno)
ESC_BGCOLOR,(esc:escape-bg:background),(esc) (bg) color
