Original identifier,"(Abbreviation:Expansion,...)",Split Identifier
locationIdx,(idx:Index),location (Idx)
fl,(fl:flock),(fl)
sem_name,(sem:semaphore),(sem) name
SEMAPHORE_MAX,(MAX:maximum),SEMAPHORE (MAX)
res,(res:result),(res)
ret,(ret:return),(ret)
actWin,(act:activation-Win:Window),(act) (Win)
appId,(App:application-Id:identificaion),(app) (Id)
UrlInfo,(Url:uniform resource locator-info:information),(Url) (Info)
url,(url:uniform resource locator),(url)
toInt,(Int:integer),to (Int)
CmdHandlesError,(Cmd:Command),(Cmd) Handles Error
EnvironmentPwd,(Pwd:password),Environment (Pwd)
ExecAbort,(Exec:Execute),(Exec) Abort
ExecArguments,(Exec:Execute),(Exec) Arguments
ExecContinue,(Exec:Execute),(Exec) Continue
ExecFinish,(Exec:Execute),(Exec) Finish
ExecInterrupt,(Exec:Execute),(Exec) Interrupt
ExecNext,(Exec:Execute),(Exec) Next
ExecNextInstruction,(Exec:Execute),(Exec) Next Instruction
ExecRun,(Exec:Execute),(Exec) Run
ExecUntil,(Exec:Execute),(Exec) Until
FileExecAndSymbols,(Exec:Execute),File (Exec) And Symbols
FileExecFile,(Exec:Execute),File (Exec) File
FileListExecSourceFile,(Exec:Execute),File List (Exec) Source File
ThreadInfo,(Info:Information),Thread (Info)
len,(len:length),(len)
tok,(tok:token),(tok)
MATCH_PTR,(PTR:pointer),match (ptr)
unique_ptr,(PTR:pointer),unique (ptr)
ADVANCE_PTR,(PTR:pointer),advance (ptr)
parseCSV,(CSV:Comma separated values),parse (CSV)
val,(val:value),(val)
Token_eof,(eof:end of file),Token (eof)
bkptKind,(bk:break-pt:point),(bk) (pt) Kind
numRows,(num:number),(num) Rows
BreakpointDataPtr,(Ptr:pointer),Break point Data (Ptr)
debuggerId,(Id:Identfication),debugger (Id)
currentCmd,(Cmd: Command),current (Cmd)
prettyCmd,(Cmd: Command),pretty (Cmd)
ss,(ss:stringstream),(ss)
ss,(ss:string stream),(ss)
dbusInterface,(db:database-us:user),(db) (us) Interface
menuExt,(Ext:extension),menu (Ext)
contextIdent,(Ident:Identifier),context (Ident)
pid,(p:process-id:identfication),(p) (id)
expr,(expr:expression),(expr)
err,(err:error),(err)
connOk,(conn:connection-Ok:Okay),(conn) (Ok)
ms,(ms:millisecond),(ms)
ts,(t:time-s:space),(t) (s)
uMsg,(u:user-Msg:message),(u) (Msg)
ds,(d:data-s:stream),(d)(s)
uMsgBuf,(u:user-Msg:message-Buf:Buffer),(u) (Msg) (Buf)
syncJob,(sync:synchronizer),(sync) Job
syncSucceeded,(sync:synchronizer),(sync) Succeeded
it,(it:iterator),(it)
it2,(it:iterator-2:distinguisher),(it) (2)
it3,(it:iterator-3:distinguisher),(it) (3)
setParensOutsidePaddingMode,(Parens:Parentheses),set (Parens) Outside Padding Mode
setParensInsidePaddingMode,(Parens:Parentheses),set (Parens) Inside Padding Mode
setParensHeaderPaddingMode,(Parens:Parentheses),set (Parens) Header Padding Mode
setParensUnPaddingMode,(Parens:Parentheses),set (Parens) Un Padding Mode
quoteChar_,(Char:Character),quote (Char)
charsToInsert,(Chars:Characters),(chars) To Insert
startChar,(Char:Character),start (Char)
ch,(ch:Character),(ch)
charsToErase,(Chars:Characters),(chars) To Erase
buildNonParenHeaders,(Paren:Parenthesis),build Non (Paren) Headers
buildNonParenHeaders,(Paren:Parentheses),build Non (Paren) Headers
peekChar,(Char:Character),Peek (Char)
lang,(lang:language),(lang)
sublang,(lang:language),sub (lang)
getLanguageID,(ID:Identfication),get Language (ID)
langID,(lang:language-ID:Identfication),(lang) (ID)
