Original identifier,"(Abbreviation:Expansion,...)",Split Identifier
aCheckNameHdl,(a:value-hdl:handle),(a) check name (hdl)
aIter,(a:value-iter:iterator),(a) (iter)
aModSizeException,(a:value-mod:module),(a)(mod) Size Exception
aNewPos,(a:value-pos:position),(a) new (pos)
aRet,(a:value-ret:return),(a) (ret)
aSeq,(a:value-seq:sequence),(a) (seq)
aStrURL,(a:value-str:string-url:uniform resource locator),(a) (str) (u r l)
aStrMark,(a:value-str:string),(a) (str) mark
aNamespaceURL,(a:value-url:uniform resource locator),(a) namespace (U R L)
aMessage,(a:value),(a) message
addr,(addr:address),(addr)
VirtualAlloc,(alloc:allocate),virtual (alloc)
GetAltText,(alt:alternate),get (alt) text
map_anon,(anon:anonymous),map (anon)
apiret,(api:application programmer interface-ret:return),(api) (ret)
atts,(atts:attributes),(atts)
bEditFmt,(b:boolean-fmt:format),(b) edit (fmt)
bFmt,(b:boolean-fmt:format),(b)(fmt)
_bVal,(b:boolean-val:value),(b) (val)
bIsStoring,(b:boolean),(b) Is storing
_bByCharacter,(b:boolean),(b) by character
_bOriginatesFromDocument,(b:boolean),(b) originates from document
_bTryBothDirections,(b:boolean),(b) try both directions
bCheckImmediately,(b:boolean),(b) check immediately
bDoit,(b:boolean),(b) do it
freebsd,(bsd:berkley software distribution),free (bsd)
CntHTTPCookie,(cnt:content-http:hypertext transfer protocol),(cnt) (http) cookie
CntHTTPCookieRequest,(cnt:content-http:hypertext transfer protocol),(cnt) (http) cookie request
const,(const:constant),(const)
SetCurPageId,(cur:current-id:identifier),set (cur) page (id)
DECL_ABSTDLG_BASE,(decl:declare-abst:abstract-dlg:dialog),(decl) (abst) (dlg) base
DECL_LINK,(decl:declare),(decl) link
BUTTONDIALOG_DEFBUTTON,(def:define),button dialog (def) button
dosallocmem,(dos:disk operating system-alloc:allocate-mem:memory),(dos) (alloc) (mem)
dwpagesize,(dw:double word),(dw) page size
eHor,(e:enumeration-hor:horizontal),(e) (hor)
eVer,(e:enumeration-ver:vertical),(e) (ver)
_eDefaultDirection,(e:enumerator),(e) default direction
_ePrimaryConversionDirection,(e:enumerator),(e) primary converstion direction
_eType,(e:enumerator),(e) type
editeng,(eng:engine),edit (eng)
ErrCode,(err:error),(err) Code
fprintf,(f:file-f:format),(f) print (f)
fScaleX,(f:float-x:mathvariable),(f) scale (x)
fScaleY,(f:float-y:mathvariable),(f) scale (y)
f,(f:segment),(f)
fini,(fini:finish),(fini)
FmShowColsDialog,(fm:file map-cols:columns),(f m) shows (cols) dialog
AbstractFmInputRecordNoDialog_Impl,(fm:file map-impl:implementation),abstract (f m) input record no dialog (impl)
AbstractFmSearchDialog_Impl,(fm:file map-impl:implementation),abstract (f m) search dialog (impl)
FmFormShell,(fm:file map),(f m) form shell
FmInputRecordNoDialog,(fm:file map),(f m) input record no dialog
FmSearchDialog,(fm:file map),(f m) search dialog
g_arena_list,(g:global),(g) arena list
gp_arena_arena,(gp:global pointer),(g p) arena arena
CheckNameHdl,(hdl:handle),check name (hdl)
EndDialogHdl,(hdl:handle),end dialog (hdl)
GetDistributeHor,(hor:horizontal),get distribute (hor)
i,(i:index),(i)
INetURLObject,(i:interface-net:network-url:uniform resource locator),(i)(net) (u r l) object
publicId,(id:identifier),public (id)
systemId,(id:identifier),system (id)
IMG_VER_HIGH,(img:image-ver:vertical),(IMG)(VER) HIGH
IMPL_ABSTDLG_BASE,(impl:implement-abst:abstract-dlg:dialog),(impl) (abst) (dlg) base
AbstractTabDialog_Impl,(impl:implementation),abstract tab dialog (impl)
InsertObjectDialog_Impl,(impl:implementation),insert object dialog (impl)
FastLocatorImpl,(impl:implementation),fast locator (impl)
int,(int:integer),(int)
LANG_LIST_WESTERN,(lang:language),(LANG) LIST WESTERN
typelib_TypeDescription,(lib:library),type (lib) Type Description
lnk,(lnk:link),(lnk)
lpvoid,(lp:long pointer),(l p) void
m_hash_table_0,(m:member-0:distinguisher),(m) hash table (0)
m_aEndDlgHdl,(m:member-a:value-dlg:dialog-hdl:handle),(m) (a) end (dlg) (hdl)
maElementName,(m:member-a:value),(m) (a) Element Name
