TYPE,IDENTIFIER,GRAMMAR_PATTERN,WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,FLAIR_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE,ID
Map,action To Index Map,N P NM N,action,NM,V,N,N,0,4,0,1,N,{'gimp.srcml.xml_identifiers'},0,1
Map,action To Index Map,N P NM N,To,NM,P,P,P,1,4,1,1,P,{'gimp.srcml.xml_identifiers'},0,2
Map,action To Index Map,N P NM N,Index,NM,N,N,N,2,4,1,1,NM,{'gimp.srcml.xml_identifiers'},0,3
Map,action To Index Map,N P NM N,Map,N,N,N,N,3,4,2,1,N,{'gimp.srcml.xml_identifiers'},0,4
KToggleAction,action View Show Master Pages,NM N V NM NPL,action,NM,N,N,N,0,5,0,1,NM,{'elasticsearch.srcml.xml_identifiers'},1,5
KToggleAction,action View Show Master Pages,NM N V NM NPL,View,NM,N,N,N,1,5,1,1,N,{'elasticsearch.srcml.xml_identifiers'},1,6
KToggleAction,action View Show Master Pages,NM N V NM NPL,Show,NM,N,N,N,2,5,1,1,V,{'elasticsearch.srcml.xml_identifiers'},1,7
KToggleAction,action View Show Master Pages,NM N V NM NPL,Master,NM,NM,N,N,3,5,1,1,NM,{'elasticsearch.srcml.xml_identifiers'},1,8
KToggleAction,action View Show Master Pages,NM N V NM NPL,Pages,N,N,NPL,NPL,4,5,2,1,NPL,{'elasticsearch.srcml.xml_identifiers'},1,9
AtomicInteger,active Copies,NM NPL,active,NM,NM,NM,NM,0,2,0,1,NM,{'gimp.srcml.xml_identifiers'},2,10
AtomicInteger,active Copies,NM NPL,Copies,N,N,NPL,NPL,1,2,2,1,NPL,{'gimp.srcml.xml_identifiers'},2,11
int,actual Count,NM N,actual,NM,NM,NM,NM,0,2,0,1,NM,{'okhttp.srcml.xml_identifiers'},3,12
int,actual Count,NM N,Count,N,N,N,N,1,2,2,1,N,{'okhttp.srcml.xml_identifiers'},3,13
boolean,add Bias To Embedding,V N P N,add,NM,V,V,V,0,4,0,1,V,{'gimp.srcml.xml_identifiers'},4,14
boolean,add Bias To Embedding,V N P N,Bias,NM,N,N,N,1,4,1,1,N,{'gimp.srcml.xml_identifiers'},4,15
boolean,add Bias To Embedding,V N P N,To,NM,P,P,P,2,4,1,1,P,{'gimp.srcml.xml_identifiers'},4,16
boolean,add Bias To Embedding,V N P N,Embedding,N,N,N,N,3,4,2,1,N,{'gimp.srcml.xml_identifiers'},4,17
Guid,Added Unicode Smp,NM NM N,Added,NM,N,VBN,VBD,0,3,0,1,NM,{'corenlp.srcml.xml_identifiers'},5,18
Guid,Added Unicode Smp,NM NM N,Unicode,NM,N,NM,N,1,3,1,1,NM,{'corenlp.srcml.xml_identifiers'},5,19
Guid,Added Unicode Smp,NM NM N,Smp,N,N,N,N,2,3,2,1,N,{'corenlp.srcml.xml_identifiers'},5,20
int,ADDRESS TYPE IPV4,NM NM N,ADDRESS,NM,N,N,N,0,3,0,1,NM,{'grpc.srcml.xml_identifiers'},6,21
int,ADDRESS TYPE IPV4,NM NM N,TYPE,NM,N,N,N,1,3,1,1,NM,{'grpc.srcml.xml_identifiers'},6,22
int,ADDRESS TYPE IPV4,NM NM N,IPV4,NM,N,N,N,2,3,2,1,N,{'grpc.srcml.xml_identifiers'},6,23
Collection,all Stubbings,DT NPL,all,DT,DT,DT,DT,0,2,0,1,DT,{'grpc.srcml.xml_identifiers'},7,24
Collection,all Stubbings,DT NPL,Stubbings,N,N,NPL,NPL,1,2,2,1,NPL,{'grpc.srcml.xml_identifiers'},7,25
Map,alt Label Ctxs,NM NM NPL,alt,NM,N,N,N,0,3,0,1,NM,{'elasticsearch.srcml.xml_identifiers'},8,26
Map,alt Label Ctxs,NM NM NPL,Label,NM,N,N,N,1,3,1,1,NM,{'elasticsearch.srcml.xml_identifiers'},8,27
