Identifier Type,Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
QString,active Tool Id,NM NM N,NM N N,NM NM N,NM N N,{'calligra.srcml.xml_identifiers'},C++
int,actual Suffix,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
boolean,adding,V,N,N,NM,{'jenkins.srcml.xml_identifiers'},Java
gsecaeadcrypter,aead crypter seal,NM NM N,N N N,NM NM N,N N N,{'grpc.srcml.xml_identifiers'},C++
List,all action Roots,DT NM NPL,DT N N,DT NM N,DT N NPL,{'antlr4.srcml.xml_identifiers'},Java
List,all Invocation Matchers,DT NM NPL,DT N N,DT NM N,DT N NPL,{'mockito.srcml.xml_identifiers'},Java
List,all Open Indices,DT NM NPL,DT NM N,DT NM N,DT N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
gboolean alwayspreview,always preview,VM V,N N,NM N,VM N,{'gimp.srcml.xml_identifiers'},C
QStringList,anchor Name,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
qreal,angle In Radian,N P N,V P N,NM NM N,N P N,{'calligra.srcml.xml_identifiers'},C++
GtkWidget,animation box,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
int,atn State,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},C#
QXmlStreamAttributes,attrs,NPL,N,N,NPL,{'calligra.srcml.xml_identifiers'},C++
uint8x8t,avg 1,N D,N N,NM N,N D,{'opencv.srcml.xml_identifiers'},C
Map,avg Map,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
String,base Category,NM N,NM N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
btTransform,base transform,NM N,N V,NM N,N V,{'bullet3.srcml.xml_identifiers'},C++
guchar,best b,NM N,NM N,NM N,NM N,{'gimp.srcml.xml_identifiers'},C
IndexedWord,best Node,NM N,NM N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
XIMStyle,best Style,NM N,NM N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
MMatrix,bind Matrix,NM N,N N,NM N,V N,{'ogre.srcml.xml_identifiers'},C++
s16,binormal type,NM N,N N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
uint32t,byte Count,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},C
int8t,byte Src,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},C++
Sink,cache Body Unbuffered,NM N NM,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
IndexShardCacheEntity,cache Entity,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
float,cam Rot Z,NM NM N,N N N,NM NM N,V N N,{'bullet3.srcml.xml_identifiers'},C++
vector,cap Times,NM NPL,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
grpcsslcertificateconfigreloadstatus,cb result,NM N,N N,NM N,P N,{'grpc.srcml.xml_identifiers'},C++
FrameIterator,cell Cursor,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
char,Ch,N,N,N,N,{'grpc.srcml.xml_identifiers'},C++
QSet,check Next,V N,N NM,NM DT,V N,{'kdevelop.srcml.xml_identifiers'},C++
Set,child Categories,NM NPL,N N,NM N,N NPL,{'junit4.srcml.xml_identifiers'},Java
auto,clang Can Ty,PRE NM N,N N N,NM NM N,N V N,{'swift.srcml.xml_identifiers'},C++
HandshakeCertificates,client Certificates,NM NPL,N N,NM N,N NPL,{'okhttp.srcml.xml_identifiers'},Java
bool,clip Dist Bug,NM NM N,V N N,NM NM N,V N N,{'ogre.srcml.xml_identifiers'},C++
List,cmd Lines,NM NPL,N N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
sharedptr,cms Pricer,NM N,N N,NM N,V N,{'QuantLib.srcml.xml_identifiers'},C++
String,code Exception Message,NM NM N,N N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
long,col Length Left,NM NM N,N N N,NM NM N,N N NM,{'bullet3.srcml.xml_identifiers'},C++
Field,compare Fields By Name,V NPL P N,V N P N,NM NM NM N,V N P N,{'mockito.srcml.xml_identifiers'},Java
bool,compiling Contexts,V NPL,N N,NM N,NM NPL,{'kdevelop.srcml.xml_identifiers'},C
mat4,cone translation,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C++
QVector,control Points,NM NPL,N N,NM N,N NPL,{'calligra.srcml.xml_identifiers'},C++
ActionBarMenuItem,copy Item,NM N,N N,NM N,V N,{'Telegram.srcml.xml_identifiers'},Java
opusint64[],corr QC,NM N,N N,NM N,N N,{'Telegram.srcml.xml_identifiers'},C
sharedptr,coterminal Model,NM N,N N,NM N,NM N,{'QuantLib.srcml.xml_identifiers'},C++
char[],cp 1254,N D,N N,NM N,P D,{'calligra.srcml.xml_identifiers'},C++
Exception,curr Thread Exception,NM NM N,N N N,NM NM N,N N N,{'junit4.srcml.xml_identifiers'},Java
Mat,current Charuco Corners,NM NM NPL,NM N N,NM NM N,NM N NPL,{'opencv.srcml.xml_identifiers'},C++
int,current Open Shards,NM NM NPL,NM NM N,NM NM N,NM N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
vector,current Sequence,NM N,NM N,NM N,NM N,{'QuantLib.srcml.xml_identifiers'},C++
float,d inf,NM N,NM N,NM N,N N,{'Telegram.srcml.xml_identifiers'},Java
BlockedItem,DEFAULT BLOCKED ITEM COMPARATOR,NM NM NM N,N NM N N,NM NM NM N,N N N N,{'jenkins.srcml.xml_identifiers'},Java
ColorManagedLook,default look,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
ST,dependencies ST,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},Java
QString,DEPOT MESSAGE START,NM NM N,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
Real,drift term,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
float,dst Saturation,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C
int,dst Type 1,NM N D,N N N,NM NM N,N N D,{'opencv.srcml.xml_identifiers'},C++
GParamSpec,element spec,NM N,N N,NM N,N N,{'gimp.srcml.xml_identifiers'},C
boolean,end Of Input,N P N,V P N,NM NM N,V P N,{'antlr4.srcml.xml_identifiers'},Java
int,enum Count,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
EqualsBuilder,equals Builder,NM N,N N,NM N,V N,{'mockito.srcml.xml_identifiers'},Java
int,equals Offset,NM N,N N,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
uint,error Mark Type,NM NM N,N N N,NM NM N,N N N,{'kdevelop.srcml.xml_identifiers'},C++
Date,event 0,N D,N N,NM N,N D,{'QuantLib.srcml.xml_identifiers'},C++
List,executors,NPL,N,N,NPL,{'jenkins.srcml.xml_identifiers'},Java
int,expect rows,NM NPL,N N,NM N,V NPL,{'opencv.srcml.xml_identifiers'},C++
String,expected String,NM N,NM N,NM N,NM N,{'junit4.srcml.xml_identifiers'},Java
ClusteredBitVector,extra Inhabitants Mask,NM NM N,NM N N,NM NM N,NM N N,{'swift.srcml.xml_identifiers'},C++
List,extra Interfaces,NM NPL,NM N,NM N,NM NPL,{'mockito.srcml.xml_identifiers'},Java
Real,f Cos,NM N,N N,NM N,N N,{'ogre.srcml.xml_identifiers'},C++
bool,f curve Found,NM N V,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
FakeMetaMethod,f m m,NM NM N,N NM N,NM NM NM,N N N,{'kdevelop.srcml.xml_identifiers'},C++
float,f Ptr Out,PRE NM N,POSSEFAILURE,NM NM N,N N VM,{'openFrameworks.srcml.xml_identifiers'},C++
int,face index,NM N,N N,NM N,N N,{'blender.srcml.xml_identifiers'},C
Class,factory Class,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
bool,fast Load Success,VM V N,V N N,NM NM N,NM N N,{'ogre.srcml.xml_identifiers'},C++
auto,feature Iterator,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},C++
unsigned,field Offset Vector,NM NM N,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
String,filter Spec,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
boolean,finished Normally,V VM,POSSEFAILURE,NM N,NM VM,{'elasticsearch.srcml.xml_identifiers'},Java
int,first Space,NM N,NM N,NM N,VM N,{'okhttp.srcml.xml_identifiers'},Java
ICameraSceneNode,fixed Cam,NM N,NM N,NM N,NM N,{'irrlicht.srcml.xml_identifiers'},C++
Frequency,fixed Leg Frequency,NM NM N,NM N N,NM NM N,NM N N,{'QuantLib.srcml.xml_identifiers'},C++
Request,followUp,N,N,N,N,{'okhttp.srcml.xml_identifiers'},Java
bool,forked iter,V N,NM N,NM N,NM N,{'blender.srcml.xml_identifiers'},C
boolean,format OK,N NM,V N,NM N,N NM,{'antlr4.srcml.xml_identifiers'},Java
int[],free Positions,NM NPL,NM N,NM N,NM NPL,{'corenlp.srcml.xml_identifiers'},Java
