identifier Type,Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,System,Language
int,a pos,PRE N,POSSEFAILURE,NM N,DT N,{'kdevelop.srcml.xml_identifiers'},C++
int64t,abs deadline n sec value,NM NM NM NM N,N N N NM N,NM NM NM NM N,NM N N N N,{'grpc.srcml.xml_identifiers'},C++
ofVec3f,accelerometer Data,NM N,N N,NM N,N N,{'openFrameworks.srcml.xml_identifiers'},C
boolean,accepting Tasks,NM NPL,NM N,NM N,NM NPL,{'jenkins.srcml.xml_identifiers'},Java
grpcresolvedaddress,addr,N,N,N,N,{'grpc.srcml.xml_identifiers'},C
vector,all Factors,DT NPL,DT N,DT N,DT NPL,{'QuantLib.srcml.xml_identifiers'},C++
String,alt Name,NM N,N N,NM N,N N,{'okhttp.srcml.xml_identifiers'},Java
path,alternative Cache Name,NM NM N,NM N N,NM NM N,NM N N,{'irrlicht.srcml.xml_identifiers'},C++
float,ambient coefficient,NM N,NM N,NM N,NM N,{'bullet3.srcml.xml_identifiers'},C++
KPrPredefinedAnimationsLoader,animations Data,NM NPL,N N,NM N,NPL N,{'calligra.srcml.xml_identifiers'},C++
String,App ID,NM N,NM N,NM N,N N,{'opencv.srcml.xml_identifiers'},Java
Collection,arg Mismatch Stubbings,NM NM NPL,N N N,NM NM N,N N NPL,{'mockito.srcml.xml_identifiers'},Java
Class,array Class,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
SILValue,Array Struct Value,NM NM N,N N N,NM NM N,N N N,{'swift.srcml.xml_identifiers'},C++
Set,assigns,NPL,V,N,V,{'junit4.srcml.xml_identifiers'},Java
Authentication,auth Result,NM N,N N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
BusinessDayConvention,b d c,NM NM N,N NM N,NM NM N,N N N,{'QuantLib.srcml.xml_identifiers'},C++
bool,b Flip Horizontally,PRE V VM,POSSEFAILURE,NM NM N,N N N,{'openFrameworks.srcml.xml_identifiers'},C++
bool,b Multi Fullscreen,PRE NM N,N N N,NM NM N,N N N,{'openFrameworks.srcml.xml_identifiers'},C++
boolean,backprop Training,NM N,N N,NM N,NM N,{'corenlp.srcml.xml_identifiers'},Java
QString,bibliography Type,NM N,N N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
unsigned,block Nr,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C++
vector,bone Positions,NM NPL,NM N,NM N,N NPL,{'ogre.srcml.xml_identifiers'},C++
int,bound Port,NM N,NM N,NM N,NM N,{'grpc.srcml.xml_identifiers'},C#
LongConsumer,breaker Consumer,NM N,N N,NM N,N N,{'elasticsearch.srcml.xml_identifiers'},Java
SILValue,Bridged Value Fun Arg,NM NM NM N,N N N N,NM NM NM N,N N N N,{'swift.srcml.xml_identifiers'},C++
quint32,brush Hatch,NM N,N N,NM N,V N,{'calligra.srcml.xml_identifiers'},C++
u32,buf Num,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C++
BuildContext,build Context,NM N,N N,NM N,V N,{'antlr4.srcml.xml_identifiers'},Java
gint,build time minor,NM NM N,N N N,NM NM N,V N NM,{'gimp.srcml.xml_identifiers'},C
Path,built Url,NM N,NM N,NM N,NM N,{'kdevelop.srcml.xml_identifiers'},C++
ByteArrayView,byte Array View,NM NM N,N N N,NM NM N,V N N,{'kdevelop.srcml.xml_identifiers'},C++
ceresproblemt,c problem,NM N,NM N,NM N,N N,{'blender.srcml.xml_identifiers'},C++
QString,cache file,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
long,call Id,NM N,N N,NM N,V N,{'okhttp.srcml.xml_identifiers'},Java
Matcher,cause Matcher,NM N,N N,NM N,V N,{'junit4.srcml.xml_identifiers'},Java
Runnable,child Statement,NM N,N N,NM N,N N,{'junit4.srcml.xml_identifiers'},Java
byte[],classfile Buffer,NM N,N N,NM N,V N,{'mockito.srcml.xml_identifiers'},Java
String,cmd Str,NM N,N N,NM N,N N,{'corenlp.srcml.xml_identifiers'},Java
int,code Point To,NM N P,V N P,NM NM N,V N P,{'antlr4.srcml.xml_identifiers'},Java
QMap,color Map,NM N,NM N,NM N,N N,{'calligra.srcml.xml_identifiers'},C++
TValue,comparison Value,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},C#
List,concrete Follower Indices,NM NM NPL,NM N N,NM NM N,NM N NPL,{'elasticsearch.srcml.xml_identifiers'},Java
serverconnectionstate,connection state,NM N,N N,NM N,N N,{'grpc.srcml.xml_identifiers'},C++
String,content Type String,NM NM N,NM N N,NM NM N,N N N,{'okhttp.srcml.xml_identifiers'},Java
b3ConvexPolyhedronData,convex Shapes,NM NPL,NM N,NM N,N N,{'bullet3.srcml.xml_identifiers'},C
InvocationOnMock,current Invocation,NM N,NM N,NM N,NM N,{'mockito.srcml.xml_identifiers'},Java
int16_t current_median,current median,NM N,NM N,NM N,NM N,{'Telegram.srcml.xml_identifiers'},C
String,current Prefix,NM N,NM N,NM N,NM N,{'jenkins.srcml.xml_identifiers'},Java
Matrix,current Root,NM N,NM N,NM N,NM N,{'QuantLib.srcml.xml_identifiers'},C++
gint,curvatures height,NM N,N N,NM N,NPL N,{'gimp.srcml.xml_identifiers'},C
Mat,D mat,NM N,NM N,NM N,N N,{'opencv.srcml.xml_identifiers'},C++
FrameworkMethod,data Point Method,NM NM N,N N N,NM NM N,NPL N N,{'junit4.srcml.xml_identifiers'},Java
guchar,default,N,N,N,N,{'gimp.srcml.xml_identifiers'},C
AutoConstantEntry,default Auto Entry,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
Matx,default mat x,NM NM N,N NM N,NM NM N,N N N,{'opencv.srcml.xml_identifiers'},C++
bool,default open,NM N,V N,NM N,N NM,{'bullet3.srcml.xml_identifiers'},C
String,default Role,NM N,N N,NM N,N N,{'jenkins.srcml.xml_identifiers'},Java
AbstractCoreLabel,dep H,NM N,N N,NM N,V N,{'corenlp.srcml.xml_identifiers'},Java
dimension2d,desktop Size,NM N,N N,NM N,N N,{'irrlicht.srcml.xml_identifiers'},C++
GimpVector2,dest points,NM NPL,NM N,NM N,N NPL,{'gimp.srcml.xml_identifiers'},C
gboolean,destroy with parent,V P N,V P N,NM NM N,V P N,{'gimp.srcml.xml_identifiers'},C
Real,discount Factor,NM N,N N,NM N,N N,{'QuantLib.srcml.xml_identifiers'},C++
DisposeType,dispose,N,V,N,V,{'gimp.srcml.xml_identifiers'},C
bool,do Caps,V NPL,V N,NM N,V N,{'QuantLib.srcml.xml_identifiers'},C++
DockWidgetArea,docking Area,NM N,N N,NM N,N N,{'kdevelop.srcml.xml_identifiers'},C++
int,down sample,NM N,P N,NM N,P N,{'Telegram.srcml.xml_identifiers'},C
String,driver Type Name,NM NM N,N N N,NM NM N,N N N,{'ogre.srcml.xml_identifiers'},C++
OutputArray,dst map 2,NM N D,N N N,NM NM N,N N D,{'opencv.srcml.xml_identifiers'},C++
bool,echo path change,V NM N,V N N,NM NM N,V N N,{'Telegram.srcml.xml_identifiers'},C
unsigned,Edit Length,NM N,N N,NM N,V N,{'swift.srcml.xml_identifiers'},C++
List,encoded Values,NM N,N N,NM N,NM NPL,{'okhttp.srcml.xml_identifiers'},Java
ImmutableTextSnapshotRef,End Snapshot,NM N,N N,NM N,N N,{'swift.srcml.xml_identifiers'},C++
String,env Name,NM N,N N,NM N,N N,{'antlr4.srcml.xml_identifiers'},Java
