Identifier Name,FINAL GRAMMAR PATTERN,POSSE,SWUM,STANFORD,system,language
ares expand name for response,PRE V N P N,V N P N,V NM N P N,NPL V N P N,{'grpc.srcml.xml_identifiers'},C
BKE lattice index flip,PRE NM N V,N N N V,V NM NM N,V N N V,{'blender.srcml.xml_identifiers'},C
BLI str r strip,PRE N VM V,N N N V,V NM NM N,N N N N,{'blender.srcml.xml_identifiers'},C
Delete Input,V N,V N,V N,V N,{'grpc.srcml.xml_identifiers'},C
dialog info update,NM N V,N N V,V NM N,V N V,{'gimp.srcml.xml_identifiers'},C
dump cemd cmd,V NM N,V N N,V NM N,V N N,{'openFrameworks.srcml.xml_identifiers'},C
dump Frame buffer Formats,V NM NM NPL,V N N N,V NM NM N,V N N NPL,{'irrlicht.srcml.xml_identifiers'},C
Get DMF Header,V NM N,V N N,V NM N,V N N,{'irrlicht.srcml.xml_identifiers'},C
Get Meta Index,V NM N,V N N,V NM N,V N N,{'Telegram.srcml.xml_identifiers'},C
get Plane Point,V NM N,V NM N,V NM N,V N N,{'ogre.srcml.xml_identifiers'},C
gimp canvas rectangle set property,PRE NM N V N,V N N NM N,V NM NM NM N,V N N N N,{'gimp.srcml.xml_identifiers'},C
gimp devices check change,PRE NPL V V,V N N N,V NM NM N,V NPL N N,{'gimp.srcml.xml_identifiers'},C
gimp eraser default,PRE N NM,V N N,V NM N,N N N,{'gimp.srcml.xml_identifiers'},C
gimp filter tool set gyroscope,PRE NM N V N,V N N NM N,V NM NM NM N,V N N N N,{'gimp.srcml.xml_identifiers'},C
gimp image file get thumbnail,PRE NM N V N,V N N N N,V NM NM NM N,V N N V NM,{'gimp.srcml.xml_identifiers'},C
gimp param drawable id init,PRE NM NM N V,V N NM N N,V NM NM NM N,V N NM N N,{'gimp.srcml.xml_identifiers'},C
gimp selection tool class init,PRE NM NM N V,V N N N N,V NM NM NM N,V N N N N,{'gimp.srcml.xml_identifiers'},C
gimp status bar progress canceled,PRE NM NM N V,V N N N V,NM NM NM N P,V N N N V,{'gimp.srcml.xml_identifiers'},C
gimp value set int32 array,PRE N V NM N,V N NM N N,V NM NM NM D N,V N V N N,{'gimp.srcml.xml_identifiers'},C
gimp wire compare,PRE N V,V N N,V NM N,V N V,{'gimp.srcml.xml_identifiers'},C
gpencil primitive modal,NM NM N,N N NM,NM NM N,V NM N,{'blender.srcml.xml_identifiers'},C
ico load layer,PRE V N,V N,V NM N,V N N,{'gimp.srcml.xml_identifiers'},C
imb stereo3d read interlace,PRE NM V N,N N N V,V NM D NM NM N,V NM N V,{'blender.srcml.xml_identifiers'},C
is canon,V N,V N,V N,V N,{'blender.srcml.xml_identifiers'},C
layer get composite mode invoker,NM V NM NM N,V NM N N,V NM NM NM N,N V NM N N,{'gimp.srcml.xml_identifiers'},C
nla invert combine value,NM V NM N,N N N N,V NM NM N,V VM V N,{'blender.srcml.xml_identifiers'},C
palette poll,N V,V,NM N,V N,{'blender.srcml.xml_identifiers'},C
path With Native Separators,N P NM NPL,POSSEFAILURE,NM NM NM N,N P NM NPL,{'kdevelop.srcml.xml_identifiers'},C
png do strip channel,NM V V N,V N N,PRE V V N,VM V N N,{'irrlicht.srcml.xml_identifiers'},C
png get row bytes,NM V NM NPL,V N N,PRE V NM N,V V N NPL,{'irrlicht.srcml.xml_identifiers'},C
png get rows,NM V NPL,V N,PRE V N,V V NPL,{'irrlicht.srcml.xml_identifiers'},C
png get unknown chunks,NM V NM NPL,V NM N,PRE V NM N,V V NM NPL,{'irrlicht.srcml.xml_identifiers'},C
png init palette transformations,NM V NM NPL,V N N,PRE V NM N,N N N NPL,{'irrlicht.srcml.xml_identifiers'},C
png read IDAT data,NM V NM N,V N N,PRE V NM N,VM V N NPL,{'irrlicht.srcml.xml_identifiers'},C
pnm load raw pfm,NM V NM N,V NM N,V NM NM N,V N NM N,{'gimp.srcml.xml_identifiers'},C
pybullet compute View Matrix,PRE V NM N,V N N,V NM NM N,V V N N,{'bullet3.srcml.xml_identifiers'},C
read subframe,V N,V N,V N,V N,{'Telegram.srcml.xml_identifiers'},C
render result exr file end,V NM NM NM N,V N N N N,V NM NM NM N,V N N N N,{'blender.srcml.xml_identifiers'},C
Reset Token Stats,V NM NPL,V NM N,V NM N,V NM NPL,{'Telegram.srcml.xml_identifiers'},C
saturated cast,NM N,NM N,V N,V N,{'Telegram.srcml.xml_identifiers'},C
Set Add Faces Points,V V NM NPL,V N N N,V NM NM N,V V N N,{'bullet3.srcml.xml_identifiers'},C
silk bw expander 32,NM NM N D,N N N NM,NM NM N D,N N N D,{'Telegram.srcml.xml_identifiers'},C
sqlite3 session config,PRE N V,N N N,V D NM N,V N N,{'Telegram.srcml.xml_identifiers'},C
sqlite3 Walk Expr List,PRE V NM N,V N N,V D NM NM N,V V N N,{'Telegram.srcml.xml_identifiers'},C
stmt Close,N V,V,V N,V N,{'Telegram.srcml.xml_identifiers'},C
TIFF Current Tile,NM NM N,N N V,NM NM N,V NM N,{'opencv.srcml.xml_identifiers'},C
